Genotype,rust_age1_Width,woodall_age4_N_density,canker_age1_LesionUF,nassau_age6_BD_m,nassau_age6_DBH,rootnum_age10_rootnum,rust_age1_Length,rootnum_age10_rootnumbin,rust_age1_rustbin,nassau_age6_CWAC,nassau_age6_BA_m,rust_age1_gall_vol,nassau_age1_HT,nassau_age6_BLC,woodall_age5_N_stiffnessTree,nassau_age6_HT,woodall_age4_N_c5c6,nassau_age2_HT,nassau_age3_HT,nassau_age2_CWAL,woodall_age4_N_lateWood%4,woodall_age4_N_lignin,nassau_age3_DBH,nassau_age6_CWAL,nassau_age4_HTLC,nassau_age2_CWAC,nassau_age4_DBH
1087120,3.03220017929,-0.143214193783,4.00305355284,-0.311033147539,1.72546794222,0.48526433792,8.68328103244,0.249901235591,0.42819957978,29.4983862372,-10.789408377,1.59009962746,12.6370331838,0.0527959119156,-0.787077806237,101.70743016,2.86014809399,12.4102603624,58.5551997884,9.03498692528,-0.622230711741,-0.840059499358,0.717699268001,44.4421533557,-1.86165860735,12.8652508695,1.01311246414
1085618,-0.108837050593,2.90821719149,-6.67376990068,-0.025614783582,0.190118590474,1.11435103115,3.119250669,0.265287701204,0.158445202063,2.12913659081,3.85280212301,-0.264520417439,-0.308803074676,-0.568986295819,-0.315387851596,-68.5092124225,-0.239746776668,19.4600877553,22.5053625424,0.628134518455,-1.44499883422,1.20901632096,0.442983366066,27.9281079336,-0.283944894917,-1.84121946467,0.569228395233
1091040,-1.93919382604,-2.58722455588,-1.224,0.0434470539308,2.78151577297,0.466839565877,-12.0165631141,0.158761748502,-0.451777153359,56.8535045267,10.6187374071,-0.968181730577,24.5804210795,0.275863516737,0.631588101066,172.961133448,-1.11805007144,63.5570001594,100.648483375,19.9551429818,1.13327400948,-0.639618567063,1.19793089888,24.4169961614,-13.240542716,20.4004259498,1.71533018618
1091686,-0.33132439009,-0.939067756132,-1.05174971671,0.131053125264,1.92808711703,0.447782001149,-3.94877108041,0.194901247929,0.0805778722423,65.8489575038,-0.656534583289,-0.634329921782,11.227559035,-0.791675294873,0.871761561977,104.664461653,-0.749537223478,22.1093553089,43.9565248278,15.0383210386,-0.633445046636,0.238349988105,0.382763930976,14.3402522242,-41.3414187658,12.2432356926,0.814594303967
1082624,-0.847440254565,-1.8998116713,2.215,0.0241477088222,0.325334525387,1.58670616999,0.575344362904,0.517902629568,-0.155706122911,15.9035222489,-7.64081282646,-0.191363092416,-4.53177418158,-0.0399620033263,-1.53757964653,-8.28014144141,-4.40845455377,-3.29861939865,-0.478846968153,-8.21284818087,-0.973656569881,0.544285444941,0.226394226228,9.86317701823,-10.7213095579,-5.74876121754,0.417986782284
1088628,NaN,-1.30764789883,NaN,0.421025196752,0.195026260283,-0.639111994146,NaN,-0.0363151678333,NaN,16.4817065205,1.46427186012,NaN,9.77811434234,-0.446917875278,0.455987479261,-13.7491202274,0.927253595889,-7.84496206438,-5.48580778503,9.06835927869,-1.23944635709,-0.114893535063,-0.302271026818,16.9124402138,2.43545354887,4.09854719965,0.169585272121
1088644,0.0530521681474,2.23942950168,-3.80313527448,-0.331825980109,-0.867877338299,-0.455440127251,-5.77367644395,-0.24904000109,-0.1306531996,-6.98077552919,7.46937895704,0.0118273111963,5.02270091968,0.0142806232507,-0.553039531216,-3.32745808962,-6.08309254619,4.80084757303,0.858862233751,-15.1608581283,-1.16413922943,3.88088906065,-0.277817129793,-7.10577126135,3.61337165194,-14.2346364715,-0.734200178982
1084648,-1.24780754785,3.15378302294,NaN,-0.368462454279,-1.08457570529,-1.20083333507,-3.98484742072,-0.367202542191,-0.194532171698,-21.6565794621,-2.26787323876,-0.759459794212,11.7614280186,-0.181741170366,-0.903964781372,-51.9383490393,3.20328012522,-11.5144151149,-24.1253028944,-10.3445612986,0.449078822707,-1.21301127661,-0.871473268294,-24.5202609958,-26.081461856,-6.02493449551,-0.834095706861
1083276,2.74906527168,-0.544537301272,4.01977038562,0.0297455542587,-1.51484500478,-0.444283812535,15.7970610496,-0.206552723052,0.719142994293,6.45319738753,6.87782605807,0.996701621649,-17.0625015663,0.358906450578,1.65547127809,-83.6645648484,-2.50215597097,-27.5745307315,-39.5922092373,-14.1797335101,-2.14877484083,0.605548059296,-0.546380060735,-7.58106195757,15.5096675285,-16.9318733733,-0.730057328383
1084112,NaN,2.40161808204,NaN,0.164683395945,1.10867747105,-0.728816303798,NaN,-0.257139311404,NaN,47.002919669,3.4526977629,NaN,3.88533183183,0.649057482015,-0.705128576958,26.276433595,5.07825257986,17.830299224,37.3168962739,2.77273483187,0.758098147826,-2.03647344798,0.58069676932,82.4276982064,-10.9615978621,7.14949937066,0.903737181396
